attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,attr_82,attr_83,attr_84,attr_85,attr_86,attr_87,attr_88,attr_89,attr_90,attr_91,attr_92,attr_93,class
98,95000.0,0.0,24970.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,63,24,44,5725.0,5725.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
98,52500.0,0.0,10510.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,54,37,78,10510.0,7005.0,0.0,0.0,0.0,0.0,0.0,277.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
98,175000.0,0.0,55990.0,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,24,17,13,12175.0,12175.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
98,62500.0,0.0,25425.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,27,27,0,51,26,72,19300.0,19015.0,0.0,0.0,0.0,0.0,0.0,501.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
98,72500.0,0.0,28515.0,1,1,2,1,0,0,0,0,0,0,1,1,4,1,1,1,1,1,0,29,11,22,10005.0,10005.0,0.0,0.0,0.0,0.0,0.0,373.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
98,999999.0,237.0,14930.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,30,30,0,54,16,15,8965.0,8965.0,0.0,0.0,0.0,0.0,0.0,306.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
98,112500.0,0.0,45010.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,49,26,72,22005.0,22005.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
98,200000.0,0.0,50360.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,99,99,0,20,14,26,605.0,605.0,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
98,72500.0,0.0,19090.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,17,8,0,49,22,61,14360.0,10555.0,0.0,0.0,0.0,0.0,0.0,219.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
98,999999.0,237.0,12005.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,22,22,51,12005.0,12005.0,0.0,0.0,0.0,0.0,0.0,316.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
98,999999.0,237.0,7510.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,24,22,51,7510.0,7005.0,0.0,0.0,0.0,0.0,505.0,198.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
98,77500.0,0.0,35960.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,21,25,48,3330.0,3305.0,0.0,0.0,0.0,0.0,0.0,343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
98,72500.0,0.0,35120.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,24,24,0,53,22,61,12505.0,12505.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
98,999999.0,0.0,18835.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,32,41,68,6705.0,6705.0,0.0,0.0,0.0,0.0,0.0,330.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
98,95000.0,0.0,18780.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,15,13,0,37,26,72,1565.0,1565.0,0.0,0.0,0.0,0.0,0.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
98,95000.0,0.0,40535.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,1,1,4,4,0,29,36,66,10505.0,10505.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
98,999999.0,175.0,13505.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,99,99,0,27,27,39,8005.0,8005.0,0.0,0.0,0.0,0.0,0.0,211.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
98,999999.0,375.0,20195.0,2,1,1,1,0,0,0,0,0,0,1,1,4,1,1,1,1,1,1,27,16,15,4325.0,4325.0,0.0,0.0,0.0,0.0,0.0,264.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,67500.0,0.0,18665.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,1,1,1,1,0,21,22,61,2505.0,2505.0,0.0,0.0,0.0,0.0,0.0,318.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
98,47500.0,0.0,19255.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,54,18,44,19255.0,18465.0,0.0,0.0,0.0,465.0,0.0,501.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
