attr_1,attr_2,class
78,200,1
73,100,1
73,100,1
67,200,1
76,200,1
76,200,1
75,200,0
73,100,1
81,200,1
70,100,1
76,200,1
72,50,1
79,200,1
67,200,1
75,200,1
76,200,1
75,200,1
68,50,1
70,50,1
69,50,1
66,50,1
57,200,1
69,50,1
63,200,1
69,50,1
67,50,1
78,200,1
70,200,1
70,200,1
67,50,1
70,50,1
68,50,1
69,50,1
70,50,1
81,200,1
70,50,1
58,200,1
53,200,1
76,200,1
70,200,1
53,200,0
81,200,1
70,50,1
53,200,1
66,50,1
58,200,0
75,200,1
70,200,1
75,200,1
76,200,1
67,200,1
79,200,1
68,50,1
81,200,1
58,200,1
69,50,1
67,200,1
75,200,1
57,200,0
66,50,1
75,200,1
76,200,1
73,100,1
73,100,1
72,50,1
76,200,1
70,200,1
76,200,1
70,100,1
57,200,1
78,200,1
67,50,1
68,50,1
63,200,1
63,200,0
79,200,1
63,200,1
76,200,1
67,50,1
66,50,1
78,200,1
75,200,1
78,200,1
70,100,1
70,200,0
70,100,1
70,200,1
75,200,1
57,200,1
75,200,1
58,200,1
73,100,1
70,100,1
70,200,1
78,200,1
66,50,1
63,200,1
67,50,1
53,200,0
67,200,1
81,200,1
75,200,1
63,200,1
67,50,1
72,50,1
79,200,1
70,100,1
67,200,1
70,50,0
67,200,1
53,200,1
57,200,1
67,200,1
68,50,1
70,200,1
70,200,1
72,50,1
72,50,1
75,200,0
70,200,1
70,200,1
72,50,1
67,200,1
53,200,1
69,50,1
58,200,1
81,200,1
79,200,1
76,200,1
67,200,1
79,200,1
57,200,1
68,50,1
67,200,1
66,50,1
76,200,1
58,200,1
67,200,1
