attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,attr_82,attr_83,attr_84,attr_85,attr_86,class
99,999999.0,575.0,22000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,25,30,44,22000.0,22000.0,0.0,0,0.0,0.0,0.0,341.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
99,999999.0,625.0,46000.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,12,8,0,47,34,49,43000.0,43000.0,0.0,0,0.0,0.0,0.0,366.0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
99,225000.0,0.0,61300.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,52,37,49,48700.0,38800.0,0.0,0,0.0,0.0,0.0,501.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
99,999999.0,312.0,8400.0,1,0,0,1,0,0,0,0,0,0,0,0,6,3,0,1,10,5,1,34,24,47,8400.0,8400.0,0.0,0,0.0,0.0,0.0,49.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
99,137500.0,0.0,17201.0,1,1,0,0,0,0,0,0,0,0,2,2,2,0,0,1,99,99,0,50,37,49,17100.0,10000.0,5000.0,0,0.0,0.0,0.0,207.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
99,137500.0,0.0,77497.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,20,17,0,40,22,51,25000.0,25000.0,0.0,0,0.0,0.0,0.0,501.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
99,999999.0,412.0,26665.0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,1,99,99,0,40,23,18,3600.0,3600.0,0.0,0,0.0,0.0,0.0,170.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,95000.0,0.0,66000.0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,99,99,0,53,41,68,40000.0,40000.0,0.0,0,0.0,0.0,0.0,501.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
99,400000.0,0.0,92000.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,10,7,0,37,38,68,42500.0,41000.0,0.0,0,0.0,0.0,0.0,501.0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
99,999999.0,675.0,15000.0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,99,99,0,22,11,11,5000.0,5000.0,0.0,0,0.0,0.0,0.0,78.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
