attr_1,attr_2,attr_3,class
1,0,1,1
10,0,0,1
3,0,1,1
2,0,1,1
3,0,1,1
2,0,1,1
3,0,1,1
10,0,0,1
10,0,0,1
2,0,1,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
1,0,1,1
10,0,0,1
4,0,1,1
2,0,1,1
10,0,0,1
2,0,1,1
10,0,0,1
3,0,1,1
10,0,0,1
10,0,0,1
2,0,1,0
2,0,1,1
2,0,1,0
4,0,1,1
9,0,0,1
10,0,0,1
10,0,0,1
1,0,1,1
3,0,1,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
2,0,1,1
10,0,0,1
2,0,1,1
2,0,1,1
10,0,0,1
10,0,0,1
1,0,1,1
2,0,1,1
10,0,0,1
10,0,0,1
10,0,0,1
2,0,1,1
10,0,0,1
1,0,1,1
10,0,0,1
1,0,1,1
2,0,1,1
1,0,1,1
5,0,1,1
9,0,0,1
3,0,1,1
1,0,1,1
2,0,1,1
5,0,1,1
2,0,1,0
1,1,0,1
10,0,0,1
8,0,0,1
10,0,0,1
1,0,1,1
2,0,1,1
1,0,1,1
1,0,1,1
10,0,0,1
9,0,0,1
1,0,1,1
10,0,0,1
1,0,1,0
1,0,1,1
10,0,0,1
10,0,0,1
10,0,0,1
2,0,1,1
9,0,0,0
1,0,1,1
5,0,1,1
1,0,1,1
10,0,0,1
9,0,0,1
2,0,1,1
10,0,0,1
2,0,1,1
2,0,1,1
1,0,1,1
4,0,1,0
9,0,0,1
2,0,1,1
2,0,1,1
2,0,1,0
10,0,0,1
3,0,1,1
