attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,class
22,7560.0,0,0,0,0,0,0,0,0,0,0,0
8,9398.0,0,0,1,0,0,0,0,0,0,0,1
18,7777.0,0,0,0,0,0,0,0,1,0,0,0
10,8870.0,0,0,0,0,0,1,0,0,0,0,1
22,9008.0,0,0,1,0,0,0,0,0,0,0,1
15,7873.0,1,0,0,0,0,0,0,0,0,0,0
21,7570.0,0,0,0,0,0,0,1,0,0,0,0
8,10442.0,0,0,0,0,0,0,0,0,0,1,1
12,8975.0,0,0,0,0,0,0,1,0,0,0,1
23,9159.0,0,0,0,0,1,0,0,0,0,0,1
3,10128.0,0,0,0,0,0,0,0,0,0,1,1
2,7527.0,0,0,0,0,0,0,0,0,0,0,1
23,7939.0,0,0,1,0,0,0,0,0,0,0,1
3,9774.0,0,1,0,0,0,0,0,0,0,0,1
2,8528.0,0,0,1,0,0,0,0,0,0,0,1
22,7787.0,0,0,0,0,0,1,0,0,0,0,1
12,7967.0,0,1,0,0,0,0,0,0,0,0,0
22,10229.0,0,0,0,0,0,0,0,0,0,1,1
15,10502.0,0,0,0,0,0,0,0,0,0,1,1
9,8335.0,0,0,1,0,0,0,0,0,0,0,1
6,10052.0,1,0,0,0,0,0,0,0,0,0,1
1,9592.0,0,0,1,0,0,0,0,0,0,0,1
22,9062.0,0,0,0,0,0,0,0,0,1,0,1
26,8902.0,0,0,1,0,0,0,0,0,0,0,1
13,9138.0,0,0,0,0,0,0,0,0,0,0,1
9,9609.0,0,1,0,0,0,0,0,0,0,0,1
11,8144.0,0,0,0,1,0,0,0,0,0,0,1
20,9135.0,0,0,0,0,1,0,0,0,0,0,1
3,9051.0,0,0,0,0,0,0,1,0,0,0,1
28,9293.0,0,0,0,0,1,0,0,0,0,0,1
21,8411.0,1,0,0,0,0,0,0,0,0,0,1
7,9328.0,0,0,0,0,0,0,0,1,0,0,1
17,9480.0,0,0,0,0,1,0,0,0,0,0,1
