hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,5
True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,5
False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,2
True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,5
True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,5
False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,2
True,False,False,True,False,False,False,True,True,True,False,False,4,False,True,False,5
False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,1
False,False,True,False,False,False,True,False,False,False,False,False,0,False,False,False,4
False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,4
False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,4
False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,1
False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,2
False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,5
False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,1
False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,1
False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,3
False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,0
False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,0
True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,5
True,False,False,True,False,False,True,True,True,True,False,False,2,False,True,True,5
False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,3
True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,5
False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,1
False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,2
True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,5
True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,5
True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,3
True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,3
False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,False,1
False,False,True,False,True,False,True,False,False,True,False,False,6,False,False,False,3
False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,1
True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,5
True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,5
False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,0
False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,4
False,True,True,False,False,False,False,False,True,True,False,False,2,True,False,True,1
False,True,True,False,False,True,True,False,True,True,False,False,2,True,False,True,1
False,False,True,False,False,False,True,True,True,True,True,False,0,True,False,False,6
True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,5
True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,5
False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,1
False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,4
True,False,False,True,False,True,True,True,True,True,False,True,0,False,False,True,5
True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,5
False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,6
False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,4
False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,6
False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,4
True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,5
False,False,True,False,False,True,True,False,False,False,False,False,5,False,False,False,4
False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,2
False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,1
False,False,True,False,False,True,False,True,True,True,False,False,4,False,False,False,0
False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,6
False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,6
False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,1
True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,5
True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,3
