LOCATION,ERECTED,LENGTH,LANES,RIVER_a,RIVER_m,RIVER_o,PURPOSE_aqueduct,PURPOSE_highway,PURPOSE_rr,CLEAR-G_g,CLEAR-G_n,T-OR-D_deck,T-OR-D_through,MATERIAL_iron,MATERIAL_steel,MATERIAL_wood,SPAN_long,SPAN_medium,SPAN_short,REL-L_f,REL-L_s,REL-L_s-f,TYPE
25.0,1819.0,1037.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
29.0,1837.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
27.0,1840.0,990.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
28.0,1844.0,1000.0,1.0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,4
3.0,1846.0,1500.0,2.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,4
29.0,1851.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
6.0,1856.0,1200.0,2.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
25.0,1859.0,1030.0,2.0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,4
28.0,1864.0,1200.0,2.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,3
29.0,1866.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
32.0,1870.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
24.0,1876.0,1200.0,4.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5
12.0,1883.0,1150.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
3.0,1884.0,1000.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
8.0,1887.0,1161.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
41.0,1888.0,4558.0,2.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,3
27.0,1890.0,1000.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3
18.0,1891.0,1350.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
27.0,1892.0,1092.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
9.0,1895.0,2367.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,3
7.0,1896.0,1040.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
37.0,1897.0,4000.0,2.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,3
15.0,1898.0,2000.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
33.0,1900.0,1200.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3
